3,Biyokataliz ve Enzim Teknolojisi,Biocatalysis and Enzyme Technology
3,Endüstriyel Biyoteknolojik Tanılama,Industrial Biotechnology Diagnostics
3,Endüstriyel Mikrobiyoloji,Industrial Microbiology
3,Fermantasyon,Fermentation
3,Nanobiyoteknoloji,Nanobiotechnology
3,Nükleik Asitlerin ve Proteinlerin Endüstriyel Moleküler Mühendisliği,Industrial Molecular Engineering of Nucleic Acids and Proteins
3,Endüstriyel Biyoteknoloji (Diğer),Industrial Biotechnology (Other)
2,Evrimsel Biyoloji,Evolutionary Biology
3,Bitki ve Mantar Sistematiği ve Taksonomi,Plant and Fungus Systematics and Taxonomy
3,"Biyocoğrafya ve
Filocoğrafya","Biogeography and
Phylogeography"
3,Biyolojik Adaptasyon,Biological Adaptation
3,Evrimsel Ekoloji,Evolutionary Ecology
3,Filogeni ve Karşılaştırmalı Analiz,Phylogeny and Comparative Analysis
3,Gelişim Sistemlerinin Evrimi,Evolution of Developmental Systems
3,Hayvan Sistematiği ve Taksonomi,Animal Systematics and Taxonomy
3,"İklim Değişikliğinin
Evrimsel Etkileri",Evolutionary Impacts of Climate Change
3,Konakçı- Parazit Etkileşimi,Host-Parasite Interactions
3,Mikrobiyal Taksonomi,Microbial Taxonomy
3,Türleşme ve Soyun Tükenmesi,Speciation and Extinction
3,Yaşam Öyküsü,Life Histories
3,Evrimsel Biyoloji (Diğer),Evolutionary Biology (Other)
2,Genetik,Genetics
3,Adli Biyoloji,Forensic Biology
3,Antropolojik Genetik,Anthropological Genetics
3,Epigenetik,Epigenetics
3,Gelişimsel Genetik,Developmental Genetics
3,Gen Haritalaması,Gene Mapping
3,Gen İfadesi,Gene Expression
3,Genetik İmmünoloji,Genetic Immunology
3,Genom Yapısı ve Düzenlemesi,Genome Structure and Regulation
3,Genomik,Genomics
3,Hücre ve Çekirdek Bölünmesi,Cell and Nuclear Division
3,Moleküler Evrim,Molecular Evolution
3,Nörogenetik,Neurogenetics
3,Optogenetik,Optogenetics
3,Sitogenetik,Cytogenetic
3,Moleküler Genetik,Molecular Genetics
3,Genetik (Diğer),Genetics (Other)
2,Hayvan Bilimi,Zoology
3,Akaroloji,Acarology
3,Entomoloji,Entomology
3,Hayvan Biyoteknolojisi,Animal Biotechnology
3,Hayvan Davranışı,Animal Behaviour
3,Hayvan Diyeti ve Beslenme,Animal Diet and Nutrition
3,Hayvan Fizyolojisi - Biyofizik,Animal Physiology - Biophysics
3,Hayvan Fizyolojisi - Ekofizyoloji,Animal Physiology- Ecophysiology
3,Hayvan Fizyolojisi - Hücre,Animal Physiology - Cell
3,"Hayvan Fizyolojisi -
Sistemler","Animal Physiology -
Systems"
3,Hayvan Gelişim ve Üreme Biyolojisi,Animal Developmental and Reproductive Biology
3,Hayvan Hücresi ve Moleküler Biyoloji,Animal Cell and Molecular Biology
3,"Hayvan
İmmünolojisi",Animal Immunology
3,Hayvan Nörobiyolojisi,Animal Neurobiology
3,"Hayvan Yapısı ve
İşlevi",Animal Structure and Function
3,Karşılaştırmalı Fizyoloji,Comparative Physiology
3,Kuş Bilimi,Ornithology
3,Omurgalı Biyolojisi,Vertebrate Biology
3,Omurgasız Biyolojisi,Invertebrate Biology
3,Sucul Toksikoloji,Aquatic Toxicology
3,Hayvan Bilimi (Diğer),Zoology (Other)
2,Mikrobiyoloji,Microbiology
3,Bakteriyoloji,Bacteriology
3,Bulaşıcı Ajanlar,Infectious Agents
3,Mikoloji,Mycology
3,Mikrobiyal Ekoloji,Microbial Ecology
3,Mikrobiyal Genetik,Microbial Genetics
3,Parazitoloji,Parasitology
3,Viroloji,Virology
3,Mikrobiyoloji (Diğer),Microbiology (Other)
1,Biyomedikal ve Klinik Bilimler,Biomedical and Clinical Sciences
2,Beslenme ve Diyetetik,Nutrition and Dietetics
3,Beslenme Bilimi,Nutritional Science
3,Genetik ve Kişiselleştirilmiş Beslenme Bilimi,Nutrigenomics and Personalised Nutrition
3,Gıda Özellikleri,Food Properties
3,Gıda ve Beslenme Dengesi,Food Nutritional Balance
3,Halk Sağlığı Beslenmesi,Public Health Nutrition
3,Klinik Beslenme,Clinical Nutrition
3,Spor ve Egzersiz Beslenmesi,Sport and Exercise Nutrition
3,Yeme Davranışları,Eating Behaviours
3,Beslenme ve Diyetetik (Diğer),Nutrition and Dietetics (Other)
2,Cerrahi,Surgery
3,"Ağız, Yüz ve Çene Cerrahisi",Facial Plastic Surgery
3,Beyin ve Sinir Cerrahisi (Nöroşirurji),Brain and Nerve Surgery (Neurosurgery)
3,Cerrahi Onkoloji,Oncologic Surgery
3,Çocuk Cerrahisi,Pediatric Surgery
3,El Cerrahisi,Hand Surgery
3,Gastroenteroloji Cerrahisi,Gastroenterology Surgery
3,Genel Cerrahi,General Surgery
3,Göğüs Cerrahisi,Thoracic Surgery
3,Harp Cerrahisi,War Surgery
3,Jinekolojik Onkoloji Cerrahisi,Gynecologic Oncology Surgery
3,Kalp ve Damar Cerrahisi,Cardiovascular Surgery
3,"Plastik, Rekonstrüktif ve Estetik Cerrahi",Plastic Reconstructive and Aesthetic Surgery
3,Organ Nakli,Transplantation
3,Radyocerrahi,Radiosurgery
3,Cerrahi (Diğer),Surgery (Other)
2,Çocuk Sağlığı ve Hastalıkları,Paediatrics
3,"Bebek ve Çocuk
Sağlığı","Infant and Child
Health"
3,Çocuk Acil,Pediatric Emergency
3,Çocuk Bulaşıcı Hastalıkları,Pediatric Infectious Diseases
3,Çocuk Endokrinolojisi,Pediatric Endocrinology
3,Çocuk Gastroenterolojisi,Pediatric Gastroenterology
3,Çocuk Genetik Hastalıkları,Pediatric Genetic Illnesses
3,Çocuk Göğüs Hastalıkları,Pediatric Chest Diseases
3,Çocuk Hematolojisi ve Onkolojisi,Pediatric Hematology and Oncology
3,Çocuk İmmünolojisi ve Alerji Hastalıkları,Pediatric Immunology and Allergic Diseases
3,Çocuk Kardiyolojisi,Pediatric Cardiology
3,"Çocuk Metabolizma
Hastalıkları",Pediatric Metabolism Diseases
3,Çocuk Nefrolojisi,Pediatric Nephrology
3,Çocuk Nörolojisi,Pediatric Neurology
3,Çocuk Romatolojisi,Pediatric Rheumatology
3,Çocuk Ürolojisi,Pediatric Urology
3,Çocuk ve Ergen Ruh Sağlığı ve Hastalıkları,Child and Adolescent Psychiatry
